age,sex,race,educd,stateicp,classwkrd,wkswork1,inctot,treatment
73,female,white,grade 10,alabama,"wage/salary, private",52,62000,1
52,male,white,"associate's degree, type not specified",alabama,"wage/salary, private",52,65000,0
49,female,white,bachelor's degree,alabama,local govt employee,52,55000,1
20,male,white,"1 or more years of college credit, no degree",alabama,"wage/salary, private",52,15000,0
66,male,white,"associate's degree, type not specified",alabama,"wage/salary, private",52,70000,0
40,female,white,"associate's degree, type not specified",alabama,"wage/salary, private",52,30200,1
40,male,white,"associate's degree, type not specified",alabama,"wage/salary, private",52,55000,0
17,female,white,grade 10,alabama,"wage/salary, private",12,510,1
71,female,white,regular high school diploma,alabama,"wage/salary, private",52,14900,1
45,female,white,bachelor's degree,alabama,federal govt employee,52,47000,1
30,female,white,regular high school diploma,alabama,"wage/salary, private",40,9400,1
25,male,black/african american/negro,grade 9,alabama,"wage/salary, private",52,32000,0
48,female,white,master's degree,alabama,wage/salary at non-profit,52,71000,1
49,male,white,"1 or more years of college credit, no degree",alabama,"wage/salary, private",26,102000,0
27,male,white,bachelor's degree,alabama,wage/salary at non-profit,52,34000,0
21,female,white,bachelor's degree,alabama,"wage/salary, private",16,7600,1
50,male,white,master's degree,alabama,"wage/salary, private",52,368040,0
52,female,white,regular high school diploma,alabama,"wage/salary, private",52,368010,1
43,male,white,"associate's degree, type not specified",alabama,"wage/salary, private",52,103000,0
40,female,white,regular high school diploma,alabama,"wage/salary, private",52,30000,1
21,female,white,"1 or more years of college credit, no degree",alabama,"wage/salary, private",52,16000,1
47,female,white,"1 or more years of college credit, no degree",alabama,"wage/salary, private",52,25000,1
58,female,white,"some college, but less than 1 year",alabama,"wage/salary, private",52,120870,1
61,male,white,"some college, but less than 1 year",alabama,federal govt employee,52,122000,0
50,male,white,regular high school diploma,alabama,"wage/salary, private",52,83000,0
50,female,white,regular high school diploma,alabama,"wage/salary, private",52,18000,1
21,female,white,"1 or more years of college credit, no degree",alabama,"wage/salary, private",52,12000,1
19,male,white,"1 or more years of college credit, no degree",alabama,"wage/salary, private",52,24000,0
35,male,white,"some college, but less than 1 year",alabama,"wage/salary, private",50,26900,0
45,female,white,regular high school diploma,alabama,"wage/salary, private",52,60000,1
30,female,white,master's degree,alabama,local govt employee,52,45000,1
30,male,white,master's degree,alabama,"wage/salary, private",52,30000,0
25,male,white,"1 or more years of college credit, no degree",alabama,"wage/salary, private",52,11500,0
46,male,white,bachelor's degree,alabama,"self-employed, not incorporated",52,6250,0
42,female,white,no schooling completed,alabama,"wage/salary, private",5,30400,1
20,female,white,"associate's degree, type not specified",alabama,"wage/salary, private",52,10000,1
17,female,white,grade 11,alabama,"wage/salary, private",52,5000,1
65,female,white,"some college, but less than 1 year",alabama,"wage/salary, private",52,175000,1
65,female,white,regular high school diploma,alabama,wage/salary at non-profit,52,34000,1
51,female,white,regular high school diploma,alabama,"wage/salary, private",52,34000,1
48,male,white,"1 or more years of college credit, no degree",alabama,"wage/salary, private",52,65000,0
23,male,white,bachelor's degree,alabama,"wage/salary, private",52,55000,0
59,female,black/african american/negro,master's degree,alabama,local govt employee,10,40000,1
26,female,black/african american/negro,bachelor's degree,alabama,"wage/salary, private",52,32000,1
23,male,black/african american/negro,"associate's degree, type not specified",alabama,"wage/salary, private",52,33000,0
25,male,white,"1 or more years of college credit, no degree",alabama,"wage/salary, private",52,70000,0
64,male,white,"12th grade, no diploma",alabama,"wage/salary, private",52,35000,0
30,female,white,bachelor's degree,alabama,wage/salary at non-profit,52,1200,1
38,male,white,bachelor's degree,alabama,federal govt employee,52,92000,0
46,male,two major races,bachelor's degree,alabama,"wage/salary, private",52,65000,0
53,male,white,"12th grade, no diploma",alabama,"self-employed, not incorporated",2,670,0
34,female,black/african american/negro,regular high school diploma,alabama,"wage/salary, private",52,29200,1
80,female,white,regular high school diploma,alabama,"wage/salary, private",52,46600,1
48,male,white,bachelor's degree,alabama,"wage/salary, private",52,90000,0
47,female,white,master's degree,alabama,"wage/salary, private",52,87000,1
33,male,two major races,bachelor's degree,alabama,"wage/salary, private",52,90000,0
73,male,white,"associate's degree, type not specified",alabama,local govt employee,36,36000,0
34,female,two major races,bachelor's degree,alabama,local govt employee,48,37000,1
56,female,white,"some college, but less than 1 year",alabama,"wage/salary, private",52,20800,1
60,male,black/african american/negro,grade 10,alabama,"wage/salary, private",24,7000,0
19,female,black/african american/negro,regular high school diploma,alabama,"wage/salary, private",52,7300,1
48,female,white,regular high school diploma,alabama,"wage/salary, private",52,39000,1
51,female,white,ged or alternative credential,alabama,"wage/salary, private",52,47000,1
52,male,white,"associate's degree, type not specified",alabama,state govt employee,52,50000,0
32,male,white,regular high school diploma,alabama,"wage/salary, private",52,62000,0
30,female,black/african american/negro,regular high school diploma,alabama,"wage/salary, private",52,39000,1
50,female,black/african american/negro,grade 9,alabama,"wage/salary, private",52,27000,1
68,male,white,"1 or more years of college credit, no degree",alabama,"wage/salary, private",52,55600,0
65,female,white,regular high school diploma,alabama,local govt employee,52,43200,1
41,female,white,"1 or more years of college credit, no degree",alabama,"wage/salary, private",52,38000,1
43,male,white,"1 or more years of college credit, no degree",alabama,"wage/salary, private",52,55000,0
50,male,white,"1 or more years of college credit, no degree",alabama,"wage/salary, private",52,75000,0
56,male,white,ged or alternative credential,alabama,"wage/salary, private",52,23000,0
48,female,white,ged or alternative credential,alabama,"wage/salary, private",52,5700,1
48,male,white,"1 or more years of college credit, no degree",alabama,"wage/salary, private",52,50000,0
62,female,white,no schooling completed,alabama,"wage/salary, private",52,33400,1
51,female,white,regular high school diploma,alabama,"wage/salary, private",52,5000,1
54,male,white,"12th grade, no diploma",alabama,"wage/salary, private",52,36000,0
23,male,white,"some college, but less than 1 year",alabama,"wage/salary, private",52,30000,0
57,male,white,"associate's degree, type not specified",alabama,"wage/salary, private",52,70500,0
61,female,white,master's degree,alabama,"wage/salary, private",52,34000,1
19,male,white,"some college, but less than 1 year",alabama,"wage/salary, private",12,1800,0
33,male,white,regular high school diploma,alabama,wage/salary at non-profit,52,20000,0
34,female,white,"1 or more years of college credit, no degree",alabama,wage/salary at non-profit,52,23400,1
47,male,black/african american/negro,bachelor's degree,alabama,"wage/salary, private",52,120000,0
53,female,white,bachelor's degree,alabama,"wage/salary, private",52,383000,1
66,male,white,bachelor's degree,alabama,"wage/salary, private",52,64500,0
44,female,white,bachelor's degree,alabama,wage/salary at non-profit,52,53000,1
25,female,white,bachelor's degree,alabama,"wage/salary, private",52,40000,1
58,female,black/african american/negro,ged or alternative credential,alabama,"wage/salary, private",52,27000,1
40,male,white,bachelor's degree,alabama,wage/salary at non-profit,52,123000,0
40,female,two major races,bachelor's degree,alabama,"wage/salary, private",52,50000,1
57,male,two major races,ged or alternative credential,alabama,state govt employee,52,40000,0
38,male,white,"some college, but less than 1 year",alabama,"wage/salary, private",52,52000,0
38,female,white,"some college, but less than 1 year",alabama,"wage/salary, private",52,23400,1
28,male,white,"some college, but less than 1 year",alabama,local govt employee,52,50000,0
25,female,white,master's degree,alabama,wage/salary at non-profit,52,50000,1
54,female,"other race, nec",master's degree,alabama,"wage/salary, private",52,32000,1
42,female,white,bachelor's degree,alabama,"wage/salary, private",52,36000,1
59,female,white,"1 or more years of college credit, no degree",alabama,"wage/salary, private",52,38400,1
62,female,white,"1 or more years of college credit, no degree",alabama,"wage/salary, private",52,84000,1
69,male,white,bachelor's degree,alabama,"wage/salary, private",51,101500,0
63,male,white,regular high school diploma,alabama,"wage/salary, private",52,56000,0
75,female,white,"1 or more years of college credit, no degree",alabama,"self-employed, not incorporated",52,50400,1
64,male,white,regular high school diploma,alabama,"wage/salary, private",32,2300,0
59,female,white,"1 or more years of college credit, no degree",alabama,"wage/salary, private",1,400,1
33,male,two major races,master's degree,alabama,"wage/salary, private",52,80000,0
31,female,two major races,bachelor's degree,alabama,"wage/salary, private",8,1600,1
47,male,white,grade 11,alabama,"wage/salary, private",52,26000,0
54,male,black/african american/negro,regular high school diploma,alabama,"wage/salary, private",52,16800,0
48,male,white,"1 or more years of college credit, no degree",alabama,"wage/salary, private",52,80000,0
58,female,white,bachelor's degree,alabama,"wage/salary, private",52,41000,1
59,male,white,professional degree beyond a bachelor's degree,alabama,"self-employed, not incorporated",52,60000,0
80,male,white,doctoral degree,alabama,federal govt employee,52,28500,0
20,female,white,"1 or more years of college credit, no degree",alabama,"wage/salary, private",1,100,1
21,male,white,"1 or more years of college credit, no degree",alabama,"wage/salary, private",52,30000,0
30,male,white,doctoral degree,alabama,"wage/salary, private",52,115000,0
29,female,white,master's degree,alabama,state govt employee,52,50000,1
57,female,white,"some college, but less than 1 year",alabama,"wage/salary, private",52,25500,1
58,male,white,grade 10,alabama,"wage/salary, private",52,55000,0
39,male,white,"1 or more years of college credit, no degree",alabama,"wage/salary, private",52,58100,0
38,female,white,master's degree,alabama,local govt employee,52,36100,1
34,female,white,"1 or more years of college credit, no degree",alabama,"wage/salary, private",38,7400,1
35,male,white,"some college, but less than 1 year",alabama,local govt employee,52,48300,0
36,male,white,regular high school diploma,alabama,"wage/salary, private",52,34000,0
39,female,white,"associate's degree, type not specified",alabama,"wage/salary, private",52,16900,1
31,female,black/african american/negro,bachelor's degree,alabama,state govt employee,52,39500,1
36,male,white,doctoral degree,alabama,state govt employee,52,20000,0
53,male,black/african american/negro,regular high school diploma,alabama,local govt employee,52,24000,0
69,male,white,regular high school diploma,alabama,"wage/salary, private",40,70000,0
51,male,white,regular high school diploma,alabama,wage/salary at non-profit,52,64000,0
41,female,white,"associate's degree, type not specified",alabama,"wage/salary, private",52,39000,1
45,male,white,master's degree,alabama,local govt employee,52,116020,0
53,female,chinese,master's degree,alabama,state govt employee,52,43900,1
49,female,white,"associate's degree, type not specified",alabama,"wage/salary, private",52,46000,1
28,female,white,bachelor's degree,alabama,state govt employee,41,9000,1
33,male,white,master's degree,alabama,"wage/salary, private",52,110000,0
32,female,white,bachelor's degree,alabama,"wage/salary, private",52,60000,1
59,male,white,"1 or more years of college credit, no degree",alabama,"wage/salary, private",52,90000,0
56,female,white,regular high school diploma,alabama,"wage/salary, private",52,32000,1
54,female,white,regular high school diploma,alabama,"wage/salary, private",52,70000,1
54,female,white,"1 or more years of college credit, no degree",alabama,"wage/salary, private",52,32000,1
56,male,white,ged or alternative credential,alabama,"wage/salary, private",46,40000,0
27,female,white,ged or alternative credential,alabama,"wage/salary, private",52,29000,1
50,male,white,ged or alternative credential,alabama,"wage/salary, private",52,12000,0
54,female,white,grade 11,alabama,"wage/salary, private",52,25000,1
46,male,black/african american/negro,regular high school diploma,alabama,local govt employee,52,80000,0
25,male,black/african american/negro,"associate's degree, type not specified",alabama,"wage/salary, private",52,10600,0
44,female,black/african american/negro,"associate's degree, type not specified",alabama,federal govt employee,52,34700,1
23,female,black/african american/negro,"some college, but less than 1 year",alabama,"wage/salary, private",16,2000,1
51,female,white,"associate's degree, type not specified",alabama,federal govt employee,52,84000,1
58,male,white,grade 11,alabama,"self-employed, incorporated",52,25000,0
54,male,black/african american/negro,bachelor's degree,alabama,state govt employee,52,80000,0
53,female,black/african american/negro,"some college, but less than 1 year",alabama,"wage/salary, private",52,36000,1
26,female,black/african american/negro,regular high school diploma,alabama,"wage/salary, private",52,22000,1
50,female,white,ged or alternative credential,alabama,"wage/salary, private",52,14400,1
58,male,white,bachelor's degree,alabama,"wage/salary, private",52,113700,0
43,female,white,"1 or more years of college credit, no degree",alabama,"self-employed, incorporated",52,40000,1
43,female,white,"associate's degree, type not specified",alabama,"wage/salary, private",52,42800,1
44,male,white,regular high school diploma,alabama,"wage/salary, private",52,34100,0
52,female,black/african american/negro,bachelor's degree,alabama,"wage/salary, private",52,30000,1
65,female,white,regular high school diploma,alabama,"wage/salary, private",52,20000,1
66,male,black/african american/negro,"12th grade, no diploma",alabama,"wage/salary, private",52,5400,0
35,male,black/african american/negro,master's degree,alabama,"wage/salary, private",52,103500,0
65,male,white,"some college, but less than 1 year",alabama,"wage/salary, private",52,75000,0
32,female,white,regular high school diploma,alabama,"wage/salary, private",52,26700,1
33,male,white,regular high school diploma,alabama,"wage/salary, private",52,70000,0
31,female,white,regular high school diploma,alabama,"wage/salary, private",43,35000,1
32,male,white,"1 or more years of college credit, no degree",alabama,"wage/salary, private",48,19000,0
33,female,white,ged or alternative credential,alabama,"wage/salary, private",52,41000,1
69,male,white,regular high school diploma,alabama,"self-employed, incorporated",48,18900,0
71,female,white,regular high school diploma,alabama,"wage/salary, private",48,25100,1
29,male,white,bachelor's degree,alabama,"wage/salary, private",39,42000,0
65,female,white,"associate's degree, type not specified",alabama,"wage/salary, private",50,19500,1
68,male,white,"1 or more years of college credit, no degree",alabama,"wage/salary, private",50,26600,0
35,female,two major races,"1 or more years of college credit, no degree",alabama,wage/salary at non-profit,52,31000,1
39,female,white,bachelor's degree,alabama,wage/salary at non-profit,52,53000,1
48,male,white,"1 or more years of college credit, no degree",alabama,"wage/salary, private",52,50000,0
65,male,black/african american/negro,bachelor's degree,alabama,"wage/salary, private",52,121000,0
61,female,black/african american/negro,bachelor's degree,alabama,federal govt employee,52,104000,1
27,male,other asian or pacific islander,regular high school diploma,alabama,"wage/salary, private",52,35000,0
26,female,"other race, nec",regular high school diploma,alabama,"wage/salary, private",16,1000,1
52,male,other asian or pacific islander,"associate's degree, type not specified",alabama,"wage/salary, private",52,35000,0
33,female,white,regular high school diploma,alabama,wage/salary at non-profit,52,13000,1
41,male,white,grade 10,alabama,"wage/salary, private",52,31000,0
49,female,white,regular high school diploma,alabama,"wage/salary, private",52,21800,1
66,female,black/african american/negro,"some college, but less than 1 year",alabama,"wage/salary, private",52,24000,1
74,female,white,regular high school diploma,alabama,wage/salary at non-profit,52,24400,1
36,male,white,"some college, but less than 1 year",alabama,"self-employed, not incorporated",52,37300,0
46,male,white,ged or alternative credential,alabama,"wage/salary, private",12,2000,0
37,female,white,"associate's degree, type not specified",alabama,"wage/salary, private",3,600,1
65,male,white,bachelor's degree,alabama,"wage/salary, private",52,106800,0
66,male,white,"associate's degree, type not specified",alabama,"self-employed, not incorporated",52,44340,0
66,female,white,"associate's degree, type not specified",alabama,wage/salary at non-profit,41,31100,1
47,female,black/african american/negro,regular high school diploma,alabama,"wage/salary, private",40,5400,1
43,male,white,bachelor's degree,alabama,"wage/salary, private",52,368000,0
41,female,white,"1 or more years of college credit, no degree",alabama,"wage/salary, private",52,40000,1
50,female,white,master's degree,alabama,"wage/salary, private",8,29600,1
48,male,white,doctoral degree,alabama,"wage/salary, private",51,416000,0
52,female,white,"1 or more years of college credit, no degree",alabama,"self-employed, incorporated",52,24000,1
55,male,white,bachelor's degree,alabama,"self-employed, incorporated",52,65000,0
51,female,black/african american/negro,bachelor's degree,alabama,wage/salary at non-profit,52,29600,1
43,male,white,"1 or more years of college credit, no degree",alabama,"wage/salary, private",52,34300,0
31,female,black/african american/negro,regular high school diploma,alabama,state govt employee,52,12800,1
31,male,"other race, nec",grade 9,alabama,"wage/salary, private",48,20000,0
41,male,"other race, nec","associate's degree, type not specified",alabama,"wage/salary, private",52,30000,0
35,male,"other race, nec","12th grade, no diploma",alabama,"wage/salary, private",44,36300,0
33,male,"other race, nec","associate's degree, type not specified",alabama,"wage/salary, private",52,40000,0
23,male,"other race, nec",regular high school diploma,alabama,"wage/salary, private",52,22000,0
59,male,white,grade 8,alabama,"wage/salary, private",52,55000,0
28,male,white,"some college, but less than 1 year",alabama,federal govt employee,52,52000,0
25,female,"other race, nec",regular high school diploma,alabama,"wage/salary, private",52,30000,1
72,male,white,"1 or more years of college credit, no degree",alabama,state govt employee,52,76800,0
40,female,white,"1 or more years of college credit, no degree",alabama,"wage/salary, private",52,36000,1
31,female,white,"associate's degree, type not specified",alabama,"wage/salary, private",52,66000,1
33,male,white,"1 or more years of college credit, no degree",alabama,"wage/salary, private",52,25000,0
21,male,white,"some college, but less than 1 year",alabama,"wage/salary, private",52,38000,0
20,female,white,"1 or more years of college credit, no degree",alabama,state govt employee,21,1400,1
42,male,white,"associate's degree, type not specified",alabama,"wage/salary, private",52,70000,0
42,female,white,"associate's degree, type not specified",alabama,"wage/salary, private",52,40000,1
45,female,american indian or alaska native,regular high school diploma,alabama,local govt employee,38,17100,1
21,male,other asian or pacific islander,"1 or more years of college credit, no degree",alabama,state govt employee,42,5000,0
28,male,white,ged or alternative credential,alabama,"wage/salary, private",49,23000,0
56,male,white,master's degree,alabama,"wage/salary, private",45,368000,0
42,male,white,"1 or more years of college credit, no degree",alabama,"wage/salary, private",52,91000,0
38,female,white,"nursery school, preschool",alabama,"wage/salary, private",52,37500,1
54,male,white,master's degree,alabama,"wage/salary, private",52,185000,0
52,female,white,"1 or more years of college credit, no degree",alabama,local govt employee,26,4800,1
22,female,white,"1 or more years of college credit, no degree",alabama,"wage/salary, private",52,4000,1
32,female,black/african american/negro,"1 or more years of college credit, no degree",alabama,"wage/salary, private",49,22800,1
38,male,black/african american/negro,grade 10,alabama,"wage/salary, private",52,27300,0
36,male,white,"associate's degree, type not specified",alabama,"wage/salary, private",52,45000,0
43,female,white,bachelor's degree,alabama,"wage/salary, private",52,55000,1
28,female,white,professional degree beyond a bachelor's degree,alabama,"self-employed, not incorporated",48,100000,1
28,male,white,professional degree beyond a bachelor's degree,alabama,"wage/salary, private",50,60000,0
47,female,white,"1 or more years of college credit, no degree",alabama,"wage/salary, private",52,40000,1
58,male,white,ged or alternative credential,alabama,"wage/salary, private",52,21400,0
25,male,white,regular high school diploma,alabama,"self-employed, not incorporated",52,19200,0
25,male,white,regular high school diploma,alabama,"wage/salary, private",52,13000,0
52,male,white,regular high school diploma,alabama,"wage/salary, private",52,68700,0
58,female,white,regular high school diploma,alabama,state govt employee,52,14000,1
65,female,white,grade 9,alabama,"wage/salary, private",52,20000,1
51,female,white,bachelor's degree,alabama,"wage/salary, private",52,40000,1
68,female,white,"some college, but less than 1 year",alabama,local govt employee,52,23100,1
60,male,white,grade 11,alabama,"wage/salary, private",52,60000,0
45,male,black/african american/negro,regular high school diploma,alabama,"wage/salary, private",12,9000,0
50,male,white,regular high school diploma,alabama,local govt employee,26,4700,0
57,male,white,bachelor's degree,alabama,"wage/salary, private",52,36900,0
60,female,white,"associate's degree, type not specified",alabama,"wage/salary, private",52,35000,1
61,male,white,ged or alternative credential,alabama,"wage/salary, private",52,60000,0
61,female,white,master's degree,alabama,wage/salary at non-profit,52,43000,1
28,male,white,master's degree,alabama,"wage/salary, private",52,46000,0
27,female,white,regular high school diploma,alabama,"wage/salary, private",52,21000,1
61,female,black/african american/negro,"some college, but less than 1 year",alabama,"wage/salary, private",52,56010,1
55,female,white,"1 or more years of college credit, no degree",alabama,local govt employee,52,25000,1
58,male,white,ged or alternative credential,alabama,"wage/salary, private",52,60000,0
29,male,white,"some college, but less than 1 year",alabama,local govt employee,52,40000,0
36,female,white,"some college, but less than 1 year",alabama,"wage/salary, private",52,31000,1
62,male,black/african american/negro,"1 or more years of college credit, no degree",alabama,"wage/salary, private",52,56400,0
59,male,white,"12th grade, no diploma",alabama,"wage/salary, private",52,50450,0
40,male,white,master's degree,alabama,local govt employee,52,70000,0
32,female,white,bachelor's degree,alabama,local govt employee,52,40000,1
49,male,white,bachelor's degree,alabama,"wage/salary, private",52,5000,0
48,male,white,grade 11,alabama,wage/salary at non-profit,52,68000,0
46,female,white,regular high school diploma,alabama,"self-employed, incorporated",52,59000,1
21,male,white,regular high school diploma,alabama,"wage/salary, private",52,35000,0
19,female,white,"1 or more years of college credit, no degree",alabama,"wage/salary, private",52,20800,1
40,female,white,"1 or more years of college credit, no degree",alabama,"wage/salary, private",52,20000,1
41,male,white,"12th grade, no diploma",alabama,"wage/salary, private",52,60000,0
72,female,black/african american/negro,master's degree,alabama,federal govt employee,2,28000,1
27,male,white,bachelor's degree,alabama,"wage/salary, private",52,50000,0
45,female,black/african american/negro,"12th grade, no diploma",alabama,"wage/salary, private",52,40000,1
55,male,black/african american/negro,"1 or more years of college credit, no degree",alabama,local govt employee,52,11400,0
49,female,black/african american/negro,"12th grade, no diploma",alabama,state govt employee,45,33000,1
24,female,two major races,regular high school diploma,alabama,"wage/salary, private",20,2700,1
70,female,white,bachelor's degree,alabama,"wage/salary, private",52,37750,1
67,male,white,master's degree,alabama,"self-employed, not incorporated",52,36100,0
52,male,white,"12th grade, no diploma",alabama,"wage/salary, private",52,26000,0
53,female,black/african american/negro,"1 or more years of college credit, no degree",alabama,"wage/salary, private",52,34000,1
63,male,black/african american/negro,"associate's degree, type not specified",alabama,"wage/salary, private",35,92800,0
22,male,black/african american/negro,"some college, but less than 1 year",alabama,"wage/salary, private",52,31300,0
47,male,white,"1 or more years of college credit, no degree",alabama,wage/salary at non-profit,52,70000,0
19,female,white,regular high school diploma,alabama,"wage/salary, private",52,20000,1
54,male,white,bachelor's degree,alabama,"wage/salary, private",52,107000,0
56,male,white,bachelor's degree,alabama,"wage/salary, private",52,97300,0
64,male,white,professional degree beyond a bachelor's degree,alabama,federal govt employee,52,110600,0
60,male,white,"1 or more years of college credit, no degree",alabama,"wage/salary, private",52,58000,0
68,male,"other race, nec","associate's degree, type not specified",alabama,"self-employed, incorporated",52,72500,0
38,female,white,regular high school diploma,alabama,wage/salary at non-profit,30,10150,1
33,male,white,regular high school diploma,alabama,"wage/salary, private",20,9000,0
67,male,white,"1 or more years of college credit, no degree",alabama,"wage/salary, private",52,147000,0
72,male,white,master's degree,alabama,"wage/salary, private",52,150800,0
68,female,white,regular high school diploma,alabama,"wage/salary, private",52,68000,1
76,male,white,regular high school diploma,alabama,"self-employed, not incorporated",5,18200,0
66,male,white,bachelor's degree,alabama,"self-employed, not incorporated",52,64800,0
25,female,black/african american/negro,bachelor's degree,alabama,local govt employee,52,27000,1
47,female,white,regular high school diploma,alabama,"wage/salary, private",52,39600,1
26,female,black/african american/negro,master's degree,alabama,state govt employee,52,41600,1
60,female,black/african american/negro,regular high school diploma,alabama,local govt employee,52,30000,1
36,male,white,professional degree beyond a bachelor's degree,alabama,"self-employed, incorporated",52,144000,0
37,female,white,professional degree beyond a bachelor's degree,alabama,wage/salary at non-profit,46,168000,1
30,female,black/african american/negro,"1 or more years of college credit, no degree",alabama,"wage/salary, private",52,27000,1
57,female,white,master's degree,alabama,local govt employee,52,91500,1
57,male,white,master's degree,alabama,federal govt employee,52,100000,0
28,male,white,"1 or more years of college credit, no degree",alabama,"self-employed, not incorporated",52,75000,0
69,female,white,regular high school diploma,alabama,wage/salary at non-profit,52,17700,1
47,female,white,bachelor's degree,alabama,state govt employee,52,60000,1
36,male,white,master's degree,alabama,"wage/salary, private",52,112000,0
35,female,white,master's degree,alabama,local govt employee,52,52000,1
36,male,white,"associate's degree, type not specified",alabama,"self-employed, incorporated",52,26000,0
28,female,white,bachelor's degree,alabama,state govt employee,52,38000,1
77,male,white,"some college, but less than 1 year",alabama,local govt employee,52,134000,0
32,male,white,"1 or more years of college credit, no degree",alabama,"self-employed, incorporated",52,128900,0
54,female,white,"1 or more years of college credit, no degree",alabama,"self-employed, incorporated",36,122000,1
45,male,white,"some college, but less than 1 year",alabama,federal govt employee,52,90000,0
20,male,white,"associate's degree, type not specified",alabama,federal govt employee,40,12000,0
50,female,white,"associate's degree, type not specified",alabama,"wage/salary, private",52,42500,1
21,female,white,regular high school diploma,alabama,"wage/salary, private",25,4000,1
41,male,white,grade 11,alabama,"wage/salary, private",52,20000,0
30,male,white,bachelor's degree,alabama,state govt employee,52,45600,0
30,female,black/african american/negro,bachelor's degree,alabama,"wage/salary, private",52,6800,1
30,male,black/african american/negro,"associate's degree, type not specified",alabama,"wage/salary, private",52,34200,0
35,male,white,doctoral degree,alabama,"wage/salary, private",52,376000,0
39,female,white,"some college, but less than 1 year",alabama,"wage/salary, private",52,58000,1
